ハンドル（URL）,location_name 旅行先名,location_name_en 英語名,catch_copy キャッチコピー（改行あり）,tagline 見出し,description 紹介文,hero_image 写真ファイル,写真の代替テキスト（ファイルのalt）,hero_image_position 表示位置,plan_product 商品,duration 所要時間,meeting_point 集合場所,time_slots 時間枠（1行ずつ）,best_time ベストタイム,best_time_note ベストタイムの理由,lead_time 何日前まで,rain_plan 雨天時,tags 景色タグ（1行ずつ）,place_types 選べる場所（1行ずつ）,beach_venues ビーチ（会場名・1行ずつ）,chapel_venues チャペル（会場名・1行ずつ）,church_venues 教会（会場名・1行ずつ）,monument_venues モニュメント（会場名・1行ずつ）,restaurant_venues レストラン（会場名・1行ずつ）,hotel_venues ホテル（会場名・1行ずつ）,blocked_slots 受付終了,few_left_slots 残りわずか,seo_title SEOタイトル,seo_description SEO説明
hawaii,ハワイ,HAWAII,"ハワイで、
一生忘れない瞬間を。",夕日のビーチで、ふたりきりに。,ヤシの並木と緑の山々、そして夕暮れの海。オアフ島で、ふたりだけの時間をつくります。,propose-hawaii.jpg,ヤシの並木の先にそびえるオアフ島の緑の山々,50% 45%,ハワイ プロポーズプラン（HAWAII）,約2時間,ワイキキ・ホテル周辺（ご滞在先に合わせてご案内）,"16:00
16:30
17:00
17:30
18:00",17:30,夕日の時間,3,雨の場合は、翌日以降の空き枠へ無料で振替できます。,"sea
sunset
resort","beach
chapel
church
restaurant
hotel",,,キャルバリー・バイ・ザ・シー教会,,,"ハレクラニ
ザ・カハラ・ホテル＆リゾート",,,ハワイでプロポーズ｜HAWAII プロポーズプラン,"ハワイでのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥51,000〜。ビーチ・チャペル・教会・レストラン・ホテルから場所を選べます。約2時間、最短3日前まで予約リクエストできます。"
miyakojima,宮古島,MIYAKOJIMA,"宮古島で、
一生忘れない瞬間を。",どこまでも続く青の中で。,パスポートのいらない、日本でいちばん青い海。遠浅の白い砂浜で伝えます。,propose-miyakojima.jpg,宮古島のエメラルドグリーンの海と白い砂浜,30% 50%,宮古島 プロポーズプラン（MIYAKOJIMA）,約2時間,与那覇前浜ビーチ 駐車場,"16:30
17:00
17:30
18:00
18:30",18:30,夕日の時間,2,雨の場合は、翌日以降の空き枠へ無料で振替できます。,"sea
resort
sunset","beach
chapel
hotel",,,,,,,,,宮古島でプロポーズ｜MIYAKOJIMA プロポーズプラン,"宮古島でのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥43,000〜。ビーチ・チャペル・ホテルから場所を選べます。約2時間、最短2日前まで予約リクエストできます。"
okinawa,沖縄本島,OKINAWA,"沖縄で、
一生忘れない瞬間を。",ビーチでも、チャペルでも。,青い海と白い砂浜の島で。ビーチはもちろん、チャペルを貸し切ってのプロポーズもできます。,（写真未提供）,,50% 50%,沖縄本島 プロポーズプラン（OKINAWA）,約2時間,ご滞在ホテル、またはご希望の会場,"10:00
16:30
17:30
18:30",18:30,夕日の時間,3,雨の場合は、翌日以降の空き枠へ無料で振替できます。,"sea
resort
sunset","beach
chapel
hotel",,"ラソール ガーデン・アリビラ
ラソール シーリゾート
ザ・サーフ ビーチサイドテラス
アートグレイス沖縄
サザンチャペル",,,,,,,沖縄本島でプロポーズ｜OKINAWA プロポーズプラン,"沖縄本島でのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥43,000〜。ビーチ・チャペル・ホテルから場所を選べます。約2時間、最短3日前まで予約リクエストできます。"
guam,グアム,GUAM,"グアムで、
一生忘れない瞬間を。",ビーチでも、チャペルでも。,日本から近い南の島。青い海と白い砂浜の前で、想いを伝えます。,（写真未提供）,,50% 50%,グアム プロポーズプラン（GUAM）,約2時間,タモン地区（ご滞在ホテル周辺）,"10:00
16:30
17:30
18:30",18:30,夕日の時間,3,雨の場合は、翌日以降の空き枠へ無料で振替できます。,"sea
resort
sunset","beach
chapel
hotel",,,,,,,,,グアムでプロポーズ｜GUAM プロポーズプラン,"グアムでのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥39,000〜。ビーチ・チャペル・ホテルから場所を選べます。約2時間、最短3日前まで予約リクエストできます。"
santorini,サントリーニ島,SANTORINI,"サントリーニで、
一生忘れない瞬間を。",白と青の街で。,断崖に広がる白い街と、エーゲ海に沈む夕日。世界でいちばん有名な夕景の中で。,propose-santorini.jpg,イアの青いドームの教会とエーゲ海,60% 58%,サントリーニ島 プロポーズプラン（SANTORINI）,約2時間,イア地区 展望テラス付近,"17:00
18:00
19:00
19:30",19:30,イアの夕日,5,天候不良の場合は、翌日以降の空き枠へ無料で振替できます。,"town
sunset
special","monument
hotel",,,,サントリーニ島（イアの街並み）,,,,,サントリーニ島でプロポーズ｜SANTORINI プロポーズプラン,"サントリーニ島でのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥67,000〜。モニュメント・ホテルから場所を選べます。約2時間、最短5日前まで予約リクエストできます。"
italy,イタリア,ITALY,"イタリアで、
一生忘れない瞬間を。",歴史ある街角で。,ローマの石畳と、何百年も変わらない街並み。映画のワンシーンのような一日に。,propose-italy.jpg,上空から見たローマのコロッセオと街並み,50% 55%,イタリア プロポーズプラン（ITALY）,約2時間,ローマ市内（ご滞在先に合わせてご案内）,"08:00
09:00
16:00
17:00",08:00,人の少ない朝,5,雨の場合は、屋根のある回廊での撮影、または翌日以降へ無料で振替できます。,town,"church
monument
hotel",,,,コロッセオ,,,,,イタリアでプロポーズ｜ITALY プロポーズプラン,"イタリアでのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥71,000〜。教会・モニュメント・ホテルから場所を選べます。約2時間、最短5日前まで予約リクエストできます。"
paris,パリ,PARIS,"パリで、
一生忘れない瞬間を。",憧れの街を、ふたりの記念日に。,エッフェル塔が見える通りを、ふたりで歩く。誰もが憧れる街で、想いを伝えます。,propose-paris.jpg,エッフェル塔が見えるパリの街並み,50% 40%,パリ プロポーズプラン（PARIS）,約2時間,トロカデロ広場,"08:00
10:00
16:00
18:00",08:00,人の少ない朝,5,雨の場合は、アーケードやカフェでの撮影、または翌日以降へ無料で振替できます。,town,"monument
hotel",,,,エッフェル塔,,,,,パリでプロポーズ｜PARIS プロポーズプラン,"パリでのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥63,000〜。モニュメント・ホテルから場所を選べます。約2時間、最短5日前まで予約リクエストできます。"
cappadocia,カッパドキア,CAPPADOCIA,"カッパドキアで、
一生忘れない瞬間を。",気球が浮かぶ朝焼けの中で。,夜明けとともに、何十もの気球が空へ。この景色は、朝にしか見られません。,propose-cappadocia.jpg,朝焼けのカッパドキアに浮かぶ気球,50% 45%,カッパドキア プロポーズプラン（CAPPADOCIA）,約2時間（早朝）,ご滞在ホテル（ギョレメ周辺）,"05:30
06:00
06:30",06:00,気球が上がる時間,5,気球が飛ばない天候の場合は、翌朝以降へ無料で振替できます。,"nature
special",hotel,,,,,,,,,カッパドキアでプロポーズ｜CAPPADOCIA プロポーズプラン,"カッパドキアでのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥75,000〜。ホテルから場所を選べます。約2時間（早朝）、最短5日前まで予約リクエストできます。"
maldives,モルディブ,MALDIVES,"モルディブで、
一生忘れない瞬間を。",水平線に浮かぶ楽園で。,透き通る海と、水上ヴィラ。滞在中のリゾートの中で、ふたりきりの時間をつくります。,propose-maldives.jpg,上空から見たモルディブの水上ヴィラと海,50% 50%,モルディブ プロポーズプラン（MALDIVES）,約2時間,ご滞在リゾート内,"16:00
17:00
17:30
18:00",17:30,夕日の時間,7,雨の場合は、滞在中の別日へ無料で振替できます。,"sea
resort","chapel
restaurant
hotel",,フォーシーズンズ ランダーギラーヴァルのチャペル,,,,"フォーシーズンズ ランダーギラーヴァル
ギリ ランカンフシ",,,モルディブでプロポーズ｜MALDIVES プロポーズプラン,"モルディブでのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥79,000〜。チャペル・レストラン・ホテルから場所を選べます。約2時間、最短7日前まで予約リクエストできます。"
bali,バリ島,BALI,"バリ島で、
一生忘れない瞬間を。",緑の棚田に包まれて。,ヤシの木と、どこまでも続く棚田。朝の静かな空気の中で、ふたりで歩きます。,propose-bali.jpg,ヤシの木に囲まれたバリ島の棚田を歩くふたり,50% 70%,バリ島 プロポーズプラン（BALI）,約2時間,テガラランの棚田（ウブド）,"07:00
08:00
16:00
17:00",07:00,朝の静かな棚田,4,雨の場合は、翌日以降の空き枠へ無料で振替できます。,"nature
resort","beach
chapel
hotel",,,,,,,,,バリ島でプロポーズ｜BALI プロポーズプラン,"バリ島でのプロポーズを、花束・写真撮影・動画撮影の3つのプランでお手伝いします。¥47,000〜。ビーチ・チャペル・ホテルから場所を選べます。約2時間、最短4日前まで予約リクエストできます。"
